season,week,seasonType,poll,team,rank,poll_priority
2013,9,regular,AP Top 25,LSU,13,2.0
2013,9,regular,AP Top 25,Louisville,18,2.0
2013,9,regular,AP Top 25,Miami,7,2.0
2013,9,regular,AP Top 25,Michigan,24,2.0
2013,9,regular,AP Top 25,Missouri,5,2.0
2013,9,regular,AP Top 25,Nebraska,25,2.0
2013,9,regular,AP Top 25,Northern Illinois,23,2.0
2013,9,regular,AP Top 25,Ohio State,4,2.0
2013,9,regular,AP Top 25,Oklahoma,17,2.0
2013,9,regular,AP Top 25,Oklahoma State,19,2.0
2013,9,regular,AP Top 25,Oregon,2,2.0
2013,9,regular,AP Top 25,South Carolina,20,2.0
2013,9,regular,AP Top 25,Stanford,8,2.0
2013,9,regular,AP Top 25,Texas A&M,14,2.0
2013,9,regular,AP Top 25,Texas Tech,10,2.0
2013,9,regular,AP Top 25,UCF,21,2.0
2013,9,regular,AP Top 25,UCLA,12,2.0
2013,9,regular,AP Top 25,Virginia Tech,16,2.0
2013,9,regular,AP Top 25,Wisconsin,22,2.0
2013,10,regular,AP Top 25,Alabama,1,2.0
2013,10,regular,AP Top 25,Arizona State,25,2.0
2013,10,regular,AP Top 25,Auburn,8,2.0
2013,10,regular,AP Top 25,Baylor,5,2.0
2013,10,regular,AP Top 25,Clemson,9,2.0
2013,10,regular,AP Top 25,Florida State,3,2.0
2013,10,regular,AP Top 25,Fresno State,16,2.0
2013,10,regular,AP Top 25,LSU,11,2.0
2013,10,regular,AP Top 25,Louisville,20,2.0
2013,10,regular,AP Top 25,Miami,7,2.0
2013,10,regular,AP Top 25,Michigan,23,2.0
2013,10,regular,AP Top 25,Michigan State,24,2.0
2013,10,regular,AP Top 25,Missouri,10,2.0
2013,10,regular,AP Top 25,Northern Illinois,21,2.0
2013,10,regular,AP Top 25,Ohio State,4,2.0
2013,10,regular,AP Top 25,Oklahoma,13,2.0
2013,10,regular,AP Top 25,Oklahoma State,18,2.0
2013,10,regular,AP Top 25,Oregon,2,2.0
2013,10,regular,AP Top 25,South Carolina,14,2.0
2013,10,regular,AP Top 25,Stanford,6,2.0
2013,10,regular,AP Top 25,Texas A&M,12,2.0
2013,10,regular,AP Top 25,Texas Tech,15,2.0
2013,10,regular,AP Top 25,UCF,19,2.0
2013,10,regular,AP Top 25,UCLA,17,2.0
2013,10,regular,AP Top 25,Wisconsin,22,2.0
2013,11,regular,AP Top 25,Alabama,1,2.0
2013,11,regular,AP Top 25,Arizona State,23,2.0
2013,11,regular,AP Top 25,Auburn,7,2.0
2013,11,regular,AP Top 25,Baylor,5,2.0
2013,11,regular,AP Top 25,Clemson,8,2.0
2013,11,regular,AP Top 25,Florida State,3,2.0
2013,11,regular,AP Top 25,Fresno State,17,2.0
2013,11,regular,AP Top 25,LSU,10,2.0
2013,11,regular,AP Top 25,Louisville,20,2.0
2013,11,regular,AP Top 25,Miami,14,2.0
2013,11,regular,AP Top 25,Michigan State,18,2.0
2013,11,regular,AP Top 25,Missouri,9,2.0
2013,11,regular,AP Top 25,Northern Illinois,22,2.0
2013,11,regular,AP Top 25,Notre Dame,24,2.0
2013,11,regular,AP Top 25,Ohio State,4,2.0
2013,11,regular,AP Top 25,Oklahoma,12,2.0
2013,11,regular,AP Top 25,Oklahoma State,15,2.0
2013,11,regular,AP Top 25,Oregon,2,2.0
2013,11,regular,AP Top 25,South Carolina,13,2.0
2013,11,regular,AP Top 25,Stanford,6,2.0
2013,11,regular,AP Top 25,Texas A&M,11,2.0
2013,11,regular,AP Top 25,Texas Tech,25,2.0
2013,11,regular,AP Top 25,UCF,19,2.0
2013,11,regular,AP Top 25,UCLA,16,2.0
2013,11,regular,AP Top 25,Wisconsin,21,2.0
2013,12,regular,AP Top 25,Alabama,1,2.0
2013,12,regular,AP Top 25,Arizona State,21,2.0
2013,12,regular,AP Top 25,Auburn,7,2.0
2013,12,regular,AP Top 25,Baylor,4,2.0
2013,12,regular,AP Top 25,Clemson,8,2.0
2013,12,regular,AP Top 25,Florida State,2,2.0
2013,12,regular,AP Top 25,Fresno State,16,2.0
2013,12,regular,AP Top 25,Georgia,25,2.0
2013,12,regular,AP Top 25,LSU,18,2.0
2013,12,regular,AP Top 25,Louisville,19,2.0
2013,12,regular,AP Top 25,Miami,24,2.0
2013,12,regular,AP Top 25,Michigan State,14,2.0
2013,12,regular,AP Top 25,Missouri,9,2.0
2013,12,regular,AP Top 25,Northern Illinois,20,2.0
2013,12,regular,AP Top 25,Ohio State,3,2.0
2013,12,regular,AP Top 25,Oklahoma,22,2.0
2013,12,regular,AP Top 25,Oklahoma State,12,2.0
2013,12,regular,AP Top 25,Oregon,6,2.0
2013,12,regular,AP Top 25,South Carolina,11,2.0
2013,12,regular,AP Top 25,Stanford,5,2.0
2013,12,regular,AP Top 25,Texas,23,2.0
2013,12,regular,AP Top 25,Texas A&M,10,2.0
2013,12,regular,AP Top 25,UCF,15,2.0
2013,12,regular,AP Top 25,UCLA,13,2.0
2013,12,regular,AP Top 25,Wisconsin,17,2.0
2013,13,regular,AP Top 25,Alabama,1,2.0
2013,13,regular,AP Top 25,Arizona State,19,2.0
2013,13,regular,AP Top 25,Auburn,6,2.0
2013,13,regular,AP Top 25,Baylor,3,2.0
2013,13,regular,AP Top 25,Clemson,7,2.0
2013,13,regular,AP Top 25,Duke,25,2.0
2013,13,regular,AP Top 25,Florida State,2,2.0
2013,13,regular,AP Top 25,Fresno State,15,2.0
2013,13,regular,AP Top 25,LSU,18,2.0
2013,13,regular,AP Top 25,Louisville,21,2.0
2013,13,regular,AP Top 25,Michigan State,13,2.0
2013,13,regular,AP Top 25,Missouri,8,2.0
2013,13,regular,AP Top 25,Northern Illinois,20,2.0
2013,13,regular,AP Top 25,Ohio State,4,2.0
2013,13,regular,AP Top 25,Oklahoma,22,2.0
2013,13,regular,AP Top 25,Oklahoma State,11,2.0
2013,13,regular,AP Top 25,Ole Miss,24,2.0
2013,13,regular,AP Top 25,Oregon,5,2.0
2013,13,regular,AP Top 25,South Carolina,12,2.0
2013,13,regular,AP Top 25,Stanford,10,2.0
2013,13,regular,AP Top 25,Texas A&M,9,2.0
2013,13,regular,AP Top 25,UCF,17,2.0
2013,13,regular,AP Top 25,UCLA,14,2.0
2013,13,regular,AP Top 25,USC,23,2.0
2013,13,regular,AP Top 25,Wisconsin,16,2.0
2013,14,regular,AP Top 25,Alabama,1,2.0
2013,14,regular,AP Top 25,Arizona State,13,2.0
2013,14,regular,AP Top 25,Auburn,4,2.0
2013,14,regular,AP Top 25,Baylor,9,2.0
2013,14,regular,AP Top 25,Clemson,6,2.0
2013,14,regular,AP Top 25,Duke,24,2.0
2013,14,regular,AP Top 25,Florida State,2,2.0
2013,14,regular,AP Top 25,Fresno State,16,2.0
2013,14,regular,AP Top 25,LSU,15,2.0
2013,14,regular,AP Top 25,Louisville,21,2.0
2013,14,regular,AP Top 25,Michigan State,11,2.0
2013,14,regular,AP Top 25,Missouri,5,2.0
2013,14,regular,AP Top 25,Northern Illinois,18,2.0
2013,14,regular,AP Top 25,Notre Dame,25,2.0
2013,14,regular,AP Top 25,Ohio State,3,2.0
2013,14,regular,AP Top 25,Oklahoma,20,2.0
2013,14,regular,AP Top 25,Oklahoma State,7,2.0
2013,14,regular,AP Top 25,Oregon,12,2.0
2013,14,regular,AP Top 25,South Carolina,10,2.0
2013,14,regular,AP Top 25,Stanford,8,2.0
2013,14,regular,AP Top 25,Texas A&M,19,2.0
2013,14,regular,AP Top 25,UCF,17,2.0
2013,14,regular,AP Top 25,UCLA,22,2.0
2013,14,regular,AP Top 25,USC,23,2.0
2013,14,regular,AP Top 25,Wisconsin,14,2.0
2013,15,regular,AP Top 25,Alabama,4,2.0
2013,15,regular,AP Top 25,Arizona State,11,2.0
2013,15,regular,AP Top 25,Auburn,3,2.0
2013,15,regular,AP Top 25,Baylor,9,2.0
2013,15,regular,AP Top 25,Clemson,13,2.0
2013,15,regular,AP Top 25,Duke,20,2.0
2013,15,regular,AP Top 25,Florida State,1,2.0
2013,15,regular,AP Top 25,Fresno State,24,2.0
2013,15,regular,AP Top 25,Georgia,25,2.0
2013,15,regular,AP Top 25,LSU,14,2.0
2013,15,regular,AP Top 25,Louisville,19,2.0
2013,15,regular,AP Top 25,Michigan State,10,2.0
2013,15,regular,AP Top 25,Missouri,5,2.0
2013,15,regular,AP Top 25,Northern Illinois,16,2.0
2013,15,regular,AP Top 25,Ohio State,2,2.0
2013,15,regular,AP Top 25,Oklahoma,18,2.0
2013,15,regular,AP Top 25,Oklahoma State,6,2.0
2013,15,regular,AP Top 25,Oregon,12,2.0
2013,15,regular,AP Top 25,South Carolina,8,2.0
2013,15,regular,AP Top 25,Stanford,7,2.0
2013,15,regular,AP Top 25,Texas,23,2.0
2013,15,regular,AP Top 25,Texas A&M,22,2.0
2013,15,regular,AP Top 25,UCF,15,2.0
2013,15,regular,AP Top 25,UCLA,17,2.0
2013,15,regular,AP Top 25,Wisconsin,21,2.0
2013,16,regular,AP Top 25,Alabama,3,2.0
2013,16,regular,AP Top 25,Arizona State,16,2.0
2013,16,regular,AP Top 25,Auburn,2,2.0
2013,16,regular,AP Top 25,Baylor,6,2.0
2013,16,regular,AP Top 25,Clemson,12,2.0
2013,16,regular,AP Top 25,Duke,22,2.0
2013,16,regular,AP Top 25,Florida State,1,2.0
2013,16,regular,AP Top 25,Fresno State,21,2.0
2013,16,regular,AP Top 25,Georgia,23,2.0
2013,16,regular,AP Top 25,LSU,14,2.0
2013,16,regular,AP Top 25,Louisville,18,2.0
2013,16,regular,AP Top 25,Michigan State,4,2.0
2013,16,regular,AP Top 25,Missouri,9,2.0
2013,16,regular,AP Top 25,Northern Illinois,24,2.0
2013,16,regular,AP Top 25,Notre Dame,25,2.0
2013,16,regular,AP Top 25,Ohio State,7,2.0
2013,16,regular,AP Top 25,Oklahoma,11,2.0
2013,16,regular,AP Top 25,Oklahoma State,13,2.0
2013,16,regular,AP Top 25,Oregon,10,2.0
2013,16,regular,AP Top 25,South Carolina,8,2.0
2013,16,regular,AP Top 25,Stanford,5,2.0
2013,16,regular,AP Top 25,Texas A&M,20,2.0
2013,16,regular,AP Top 25,UCF,15,2.0
2013,16,regular,AP Top 25,UCLA,17,2.0
2013,16,regular,AP Top 25,Wisconsin,19,2.0
2014,1,postseason,Playoff Committee Rankings,Alabama,1,1.0
2014,1,postseason,Playoff Committee Rankings,Arizona,10,1.0
2014,1,postseason,Playoff Committee Rankings,Arizona State,15,1.0
2014,1,postseason,Playoff Committee Rankings,Auburn,19,1.0
2014,1,postseason,Playoff Committee Rankings,Baylor,5,1.0
2014,1,postseason,Playoff Committee Rankings,Boise State,20,1.0
2014,1,postseason,Playoff Committee Rankings,Clemson,17,1.0
2014,1,postseason,Playoff Committee Rankings,Florida State,3,1.0
2014,1,postseason,Playoff Committee Rankings,Georgia,13,1.0
2014,1,postseason,Playoff Committee Rankings,Georgia Tech,12,1.0
2014,1,postseason,Playoff Committee Rankings,Kansas State,11,1.0
2014,1,postseason,Playoff Committee Rankings,LSU,23,1.0
2014,1,postseason,Playoff Committee Rankings,Louisville,21,1.0
2014,1,postseason,AP Top 25,Marshall,23,2.0
2014,1,postseason,AP Top 25,Memphis,25,2.0
2014,1,postseason,Playoff Committee Rankings,Michigan State,8,1.0
2014,1,postseason,Playoff Committee Rankings,Minnesota,25,1.0
2014,1,postseason,Playoff Committee Rankings,Mississippi State,7,1.0
2014,1,postseason,Playoff Committee Rankings,Missouri,16,1.0
2014,1,postseason,Playoff Committee Rankings,Ohio State,4,1.0
2014,1,postseason,Playoff Committee Rankings,Ole Miss,9,1.0
2014,1,postseason,Playoff Committee Rankings,Oregon,2,1.0
2014,1,postseason,Playoff Committee Rankings,TCU,6,1.0
2014,1,postseason,Playoff Committee Rankings,UCLA,14,1.0
2014,1,postseason,Playoff Committee Rankings,USC,24,1.0
2014,1,postseason,Playoff Committee Rankings,Utah,22,1.0
2014,1,postseason,Playoff Committee Rankings,Wisconsin,18,1.0
2014,1,regular,AP Top 25,Alabama,2,2.0
2014,1,regular,AP Top 25,Arizona State,19,2.0
2014,1,regular,AP Top 25,Auburn,6,2.0
2014,1,regular,AP Top 25,Baylor,10,2.0
2014,1,regular,AP Top 25,Clemson,16,2.0
2014,1,regular,AP Top 25,Florida State,1,2.0
2014,1,regular,AP Top 25,Georgia,12,2.0
2014,1,regular,AP Top 25,Kansas State,20,2.0
2014,1,regular,AP Top 25,LSU,13,2.0
2014,1,regular,AP Top 25,Michigan State,8,2.0
2014,1,regular,AP Top 25,Missouri,24,2.0
2014,1,regular,AP Top 25,Nebraska,22,2.0
2014,1,regular,AP Top 25,North Carolina,23,2.0
2014,1,regular,AP Top 25,Notre Dame,17,2.0
2014,1,regular,AP Top 25,Ohio State,5,2.0
2014,1,regular,AP Top 25,Oklahoma,4,2.0
2014,1,regular,AP Top 25,Ole Miss,18,2.0
2014,1,regular,AP Top 25,Oregon,3,2.0
2014,1,regular,AP Top 25,South Carolina,9,2.0
2014,1,regular,AP Top 25,Stanford,11,2.0
2014,1,regular,AP Top 25,Texas A&M,21,2.0
2014,1,regular,AP Top 25,UCLA,7,2.0
2014,1,regular,AP Top 25,USC,15,2.0
2014,1,regular,AP Top 25,Washington,25,2.0
2014,1,regular,AP Top 25,Wisconsin,14,2.0
2014,2,regular,AP Top 25,Alabama,2,2.0
2014,2,regular,AP Top 25,Arizona State,17,2.0
2014,2,regular,AP Top 25,Auburn,5,2.0
2014,2,regular,AP Top 25,Baylor,10,2.0
2014,2,regular,AP Top 25,Clemson,23,2.0
2014,2,regular,AP Top 25,Florida State,1,2.0
2014,2,regular,AP Top 25,Georgia,6,2.0
2014,2,regular,AP Top 25,Kansas State,20,2.0
2014,2,regular,AP Top 25,LSU,12,2.0
2014,2,regular,AP Top 25,Louisville,25,2.0
2014,2,regular,AP Top 25,Michigan State,7,2.0
2014,2,regular,AP Top 25,Missouri,24,2.0
2014,2,regular,AP Top 25,Nebraska,19,2.0
2014,2,regular,AP Top 25,North Carolina,21,2.0
2014,2,regular,AP Top 25,Notre Dame,16,2.0
2014,2,regular,AP Top 25,Ohio State,8,2.0
2014,2,regular,AP Top 25,Oklahoma,4,2.0
2014,2,regular,AP Top 25,Ole Miss,15,2.0
2014,2,regular,AP Top 25,Oregon,3,2.0
2014,2,regular,AP Top 25,South Carolina,21,2.0
2014,2,regular,AP Top 25,Stanford,13,2.0
2014,2,regular,AP Top 25,Texas A&M,9,2.0
2014,2,regular,AP Top 25,UCLA,11,2.0
2014,2,regular,AP Top 25,USC,14,2.0
2014,2,regular,AP Top 25,Wisconsin,18,2.0
2014,3,regular,AP Top 25,Alabama,3,2.0
2014,3,regular,AP Top 25,Arizona State,16,2.0
2014,3,regular,AP Top 25,Auburn,5,2.0
2014,3,regular,AP Top 25,BYU,25,2.0
2014,3,regular,AP Top 25,Baylor,8,2.0
2014,3,regular,AP Top 25,Clemson,23,2.0
2014,3,regular,AP Top 25,Florida State,1,2.0
2014,3,regular,AP Top 25,Georgia,6,2.0
2014,3,regular,AP Top 25,Kansas State,19,2.0
2014,3,regular,AP Top 25,LSU,10,2.0
2014,3,regular,AP Top 25,Louisville,21,2.0
2014,3,regular,AP Top 25,Michigan State,13,2.0
2014,3,regular,AP Top 25,Missouri,20,2.0
2014,3,regular,AP Top 25,Notre Dame,11,2.0
2014,3,regular,AP Top 25,Ohio State,22,2.0
2014,3,regular,AP Top 25,Oklahoma,4,2.0
2014,3,regular,AP Top 25,Ole Miss,14,2.0
2014,3,regular,AP Top 25,Oregon,2,2.0
2014,3,regular,AP Top 25,South Carolina,24,2.0
2014,3,regular,AP Top 25,Stanford,15,2.0
2014,3,regular,AP Top 25,Texas A&M,7,2.0
2014,3,regular,AP Top 25,UCLA,12,2.0
2014,3,regular,AP Top 25,USC,9,2.0
2014,3,regular,AP Top 25,Virginia Tech,17,2.0
2014,3,regular,AP Top 25,Wisconsin,18,2.0
2014,4,regular,AP Top 25,Alabama,3,2.0
2014,4,regular,AP Top 25,Arizona State,15,2.0
2014,4,regular,AP Top 25,Auburn,5,2.0
2014,4,regular,AP Top 25,BYU,21,2.0
2014,4,regular,AP Top 25,Baylor,7,2.0
2014,4,regular,AP Top 25,Clemson,22,2.0
2014,4,regular,AP Top 25,Florida State,1,2.0
2014,4,regular,AP Top 25,Georgia,13,2.0
2014,4,regular,AP Top 25,Kansas State,20,2.0
2014,4,regular,AP Top 25,LSU,8,2.0
2014,4,regular,AP Top 25,Michigan State,11,2.0
2014,4,regular,AP Top 25,Missouri,18,2.0
2014,4,regular,AP Top 25,Nebraska,24,2.0
2014,4,regular,AP Top 25,Notre Dame,9,2.0
2014,4,regular,AP Top 25,Ohio State,23,2.0
2014,4,regular,AP Top 25,Oklahoma,4,2.0
2014,4,regular,AP Top 25,Oklahoma State,25,2.0
2014,4,regular,AP Top 25,Ole Miss,10,2.0
2014,4,regular,AP Top 25,Oregon,2,2.0
2014,4,regular,AP Top 25,South Carolina,14,2.0
2014,4,regular,AP Top 25,Stanford,16,2.0
2014,4,regular,AP Top 25,Texas A&M,6,2.0
2014,4,regular,AP Top 25,UCLA,12,2.0
2014,4,regular,AP Top 25,USC,17,2.0
2014,4,regular,AP Top 25,Wisconsin,19,2.0
2014,5,regular,AP Top 25,Alabama,3,2.0
2014,5,regular,AP Top 25,Arizona State,15,2.0
2014,5,regular,AP Top 25,Auburn,5,2.0
2014,5,regular,AP Top 25,BYU,20,2.0
2014,5,regular,AP Top 25,Baylor,7,2.0
2014,5,regular,AP Top 25,East Carolina,23,2.0
2014,5,regular,AP Top 25,Florida State,1,2.0
2014,5,regular,AP Top 25,Georgia,12,2.0
2014,5,regular,AP Top 25,Kansas State,25,2.0
2014,5,regular,AP Top 25,LSU,17,2.0
2014,5,regular,AP Top 25,Michigan State,9,2.0
2014,5,regular,AP Top 25,Mississippi State,14,2.0
2014,5,regular,AP Top 25,Nebraska,21,2.0
2014,5,regular,AP Top 25,Notre Dame,8,2.0
2014,5,regular,AP Top 25,Ohio State,22,2.0
2014,5,regular,AP Top 25,Oklahoma,4,2.0
2014,5,regular,AP Top 25,Oklahoma State,24,2.0
2014,5,regular,AP Top 25,Ole Miss,10,2.0
2014,5,regular,AP Top 25,Oregon,2,2.0
2014,5,regular,AP Top 25,South Carolina,13,2.0
2014,5,regular,AP Top 25,Stanford,16,2.0
2014,5,regular,AP Top 25,Texas A&M,6,2.0
2014,5,regular,AP Top 25,UCLA,11,2.0
2014,5,regular,AP Top 25,USC,18,2.0
2014,5,regular,AP Top 25,Wisconsin,19,2.0
2014,6,regular,AP Top 25,Alabama,3,2.0
2014,6,regular,AP Top 25,Auburn,5,2.0
2014,6,regular,AP Top 25,BYU,18,2.0
2014,6,regular,AP Top 25,Baylor,7,2.0
2014,6,regular,AP Top 25,East Carolina,22,2.0
2014,6,regular,AP Top 25,Florida State,1,2.0
2014,6,regular,AP Top 25,Georgia,13,2.0
2014,6,regular,AP Top 25,Kansas State,23,2.0
2014,6,regular,AP Top 25,LSU,15,2.0
2014,6,regular,AP Top 25,Michigan State,10,2.0
2014,6,regular,AP Top 25,Mississippi State,12,2.0
2014,6,regular,AP Top 25,Missouri,24,2.0
2014,6,regular,AP Top 25,Nebraska,19,2.0
2014,6,regular,AP Top 25,Notre Dame,9,2.0
2014,6,regular,AP Top 25,Ohio State,20,2.0
2014,6,regular,AP Top 25,Oklahoma,4,2.0
2014,6,regular,AP Top 25,Oklahoma State,21,2.0
2014,6,regular,AP Top 25,Ole Miss,11,2.0
2014,6,regular,AP Top 25,Oregon,2,2.0
2014,6,regular,AP Top 25,Stanford,14,2.0
2014,6,regular,AP Top 25,TCU,25,2.0
2014,6,regular,AP Top 25,Texas A&M,6,2.0
2014,6,regular,AP Top 25,UCLA,8,2.0
2014,6,regular,AP Top 25,USC,16,2.0
2014,6,regular,AP Top 25,Wisconsin,17,2.0
2014,7,regular,AP Top 25,Alabama,7,2.0
2014,7,regular,AP Top 25,Arizona,10,2.0
2014,7,regular,AP Top 25,Arizona State,20,2.0
2014,7,regular,AP Top 25,Auburn,2,2.0
2014,7,regular,AP Top 25,Baylor,5,2.0
2014,7,regular,AP Top 25,East Carolina,19,2.0
2014,7,regular,AP Top 25,Florida State,1,2.0
2014,7,regular,AP Top 25,Georgia,13,2.0
2014,7,regular,AP Top 25,Georgia Tech,22,2.0
2014,7,regular,AP Top 25,Kansas State,17,2.0
2014,7,regular,AP Top 25,Michigan State,8,2.0
2014,7,regular,AP Top 25,Mississippi State,3,2.0
2014,7,regular,AP Top 25,Missouri,23,2.0
2014,7,regular,AP Top 25,Nebraska,21,2.0
2014,7,regular,AP Top 25,Notre Dame,6,2.0
2014,7,regular,AP Top 25,Ohio State,15,2.0
2014,7,regular,AP Top 25,Oklahoma,11,2.0
2014,7,regular,AP Top 25,Oklahoma State,16,2.0
2014,7,regular,AP Top 25,Ole Miss,3,2.0
2014,7,regular,AP Top 25,Oregon,12,2.0
2014,7,regular,AP Top 25,Stanford,25,2.0
2014,7,regular,AP Top 25,TCU,9,2.0
2014,7,regular,AP Top 25,Texas A&M,14,2.0
2014,7,regular,AP Top 25,UCLA,18,2.0
2014,7,regular,AP Top 25,Utah,24,2.0
2014,8,regular,AP Top 25,Alabama,7,2.0
2014,8,regular,AP Top 25,Arizona,16,2.0
2014,8,regular,AP Top 25,Arizona State,17,2.0
2014,8,regular,AP Top 25,Auburn,6,2.0
2014,8,regular,AP Top 25,Baylor,4,2.0
2014,8,regular,AP Top 25,Clemson,24,2.0
2014,8,regular,AP Top 25,East Carolina,18,2.0
2014,8,regular,AP Top 25,Florida State,2,2.0
2014,8,regular,AP Top 25,Georgia,10,2.0
2014,8,regular,AP Top 25,Kansas State,14,2.0
2014,8,regular,AP Top 25,Marshall,25,2.0
2014,8,regular,AP Top 25,Michigan State,8,2.0
2014,8,regular,AP Top 25,Mississippi State,1,2.0
2014,8,regular,AP Top 25,Nebraska,19,2.0
2014,8,regular,AP Top 25,Notre Dame,5,2.0
2014,8,regular,AP Top 25,Ohio State,13,2.0
2014,8,regular,AP Top 25,Oklahoma,11,2.0
2014,8,regular,AP Top 25,Oklahoma State,15,2.0
2014,8,regular,AP Top 25,Ole Miss,3,2.0
2014,8,regular,AP Top 25,Oregon,9,2.0
2014,8,regular,AP Top 25,Stanford,23,2.0
2014,8,regular,AP Top 25,TCU,12,2.0
2014,8,regular,AP Top 25,Texas A&M,21,2.0
2014,8,regular,AP Top 25,USC,22,2.0
2014,8,regular,AP Top 25,Utah,20,2.0
2014,9,regular,AP Top 25,Alabama,4,2.0
2014,9,regular,AP Top 25,Arizona,15,2.0
2014,9,regular,AP Top 25,Arizona State,14,2.0
2014,9,regular,AP Top 25,Auburn,5,2.0
2014,9,regular,AP Top 25,Baylor,12,2.0
2014,9,regular,AP Top 25,Clemson,21,2.0
2014,9,regular,AP Top 25,East Carolina,18,2.0
2014,9,regular,AP Top 25,Florida State,2,2.0
2014,9,regular,AP Top 25,Georgia,9,2.0
2014,9,regular,AP Top 25,Kansas State,11,2.0
2014,9,regular,AP Top 25,LSU,24,2.0
2014,9,regular,AP Top 25,Marshall,23,2.0
2014,9,regular,AP Top 25,Michigan State,8,2.0
2014,9,regular,AP Top 25,Mississippi State,1,2.0
2014,9,regular,AP Top 25,Nebraska,16,2.0
2014,9,regular,AP Top 25,Notre Dame,7,2.0
2014,9,regular,AP Top 25,Ohio State,13,2.0
2014,9,regular,AP Top 25,Oklahoma,17,2.0
2014,9,regular,AP Top 25,Ole Miss,3,2.0
2014,9,regular,AP Top 25,Oregon,6,2.0
2014,9,regular,AP Top 25,TCU,10,2.0
2014,9,regular,AP Top 25,UCLA,25,2.0
2014,9,regular,AP Top 25,USC,20,2.0
2014,9,regular,AP Top 25,Utah,19,2.0
2014,9,regular,AP Top 25,West Virginia,22,2.0
2014,10,regular,Playoff Committee Rankings,Alabama,6,1.0
2014,10,regular,Playoff Committee Rankings,Arizona,12,1.0
2014,10,regular,Playoff Committee Rankings,Arizona State,14,1.0
2014,10,regular,Playoff Committee Rankings,Auburn,3,1.0
2014,10,regular,Playoff Committee Rankings,Baylor,13,1.0
2014,10,regular,Playoff Committee Rankings,Clemson,21,1.0
2014,10,regular,Playoff Committee Rankings,Duke,24,1.0
2014,10,regular,Playoff Committee Rankings,East Carolina,23,1.0
2014,10,regular,Playoff Committee Rankings,Florida State,2,1.0
2014,10,regular,Playoff Committee Rankings,Georgia,11,1.0
2014,10,regular,Playoff Committee Rankings,Kansas State,9,1.0
2014,10,regular,Playoff Committee Rankings,LSU,19,1.0
2014,10,regular,Playoff Committee Rankings,Louisville,25,1.0
2014,10,regular,AP Top 25,Marshall,23,2.0
2014,10,regular,Playoff Committee Rankings,Michigan State,8,1.0
2014,10,regular,Playoff Committee Rankings,Mississippi State,1,1.0
2014,10,regular,Playoff Committee Rankings,Nebraska,15,1.0
2014,10,regular,Playoff Committee Rankings,Notre Dame,10,1.0
2014,10,regular,Playoff Committee Rankings,Ohio State,16,1.0
2014,10,regular,Playoff Committee Rankings,Oklahoma,18,1.0
2014,10,regular,Playoff Committee Rankings,Ole Miss,4,1.0
2014,10,regular,Playoff Committee Rankings,Oregon,5,1.0
2014,10,regular,Playoff Committee Rankings,TCU,7,1.0
2014,10,regular,Playoff Committee Rankings,UCLA,22,1.0
2014,10,regular,Playoff Committee Rankings,Utah,17,1.0
2014,10,regular,Playoff Committee Rankings,West Virginia,20,1.0
2014,11,regular,Playoff Committee Rankings,Alabama,5,1.0
2014,11,regular,Playoff Committee Rankings,Arizona,19,1.0
2014,11,regular,Playoff Committee Rankings,Arizona State,9,1.0
2014,11,regular,Playoff Committee Rankings,Auburn,3,1.0
2014,11,regular,Playoff Committee Rankings,Baylor,12,1.0
2014,11,regular,Playoff Committee Rankings,Clemson,21,1.0
2014,11,regular,Playoff Committee Rankings,Duke,22,1.0
2014,11,regular,Playoff Committee Rankings,Florida State,2,1.0
2014,11,regular,Playoff Committee Rankings,Georgia,20,1.0
2014,11,regular,Playoff Committee Rankings,Georgia Tech,24,1.0
2014,11,regular,Playoff Committee Rankings,Kansas State,7,1.0
2014,11,regular,Playoff Committee Rankings,LSU,16,1.0
2014,11,regular,AP Top 25,Marshall,23,2.0
2014,11,regular,Playoff Committee Rankings,Michigan State,8,1.0
2014,11,regular,Playoff Committee Rankings,Mississippi State,1,1.0
2014,11,regular,Playoff Committee Rankings,Nebraska,13,1.0
2014,11,regular,Playoff Committee Rankings,Notre Dame,10,1.0
2014,11,regular,Playoff Committee Rankings,Ohio State,14,1.0
2014,11,regular,Playoff Committee Rankings,Oklahoma,15,1.0
2014,11,regular,Playoff Committee Rankings,Ole Miss,11,1.0
2014,11,regular,Playoff Committee Rankings,Oregon,4,1.0
2014,11,regular,Playoff Committee Rankings,TCU,6,1.0
2014,11,regular,Playoff Committee Rankings,UCLA,18,1.0
2014,11,regular,Playoff Committee Rankings,Utah,17,1.0
2014,11,regular,Playoff Committee Rankings,West Virginia,23,1.0
2014,11,regular,Playoff Committee Rankings,Wisconsin,25,1.0
2014,12,regular,Playoff Committee Rankings,Alabama,5,1.0
2014,12,regular,Playoff Committee Rankings,Arizona,14,1.0
2014,12,regular,Playoff Committee Rankings,Arizona State,6,1.0
2014,12,regular,Playoff Committee Rankings,Auburn,9,1.0
2014,12,regular,Playoff Committee Rankings,Baylor,7,1.0
2014,12,regular,Playoff Committee Rankings,Clemson,19,1.0
2014,12,regular,AP Top 25,Colorado State,23,2.0
2014,12,regular,Playoff Committee Rankings,Duke,21,1.0
2014,12,regular,Playoff Committee Rankings,Florida State,3,1.0
2014,12,regular,Playoff Committee Rankings,Georgia,15,1.0
